[000:00:06;271] OO
[002:30:56;533] AN AWFUL LOT ABOUT ME.
[002:31:00;037] YOU KNOW
[002:31:00;037] AN AWFUL LOT ABOUT ME.
[002:31:03;074] I DON'T KNOW ANYTHING
[002:31:05;142] THAT'S NOT
[002:31:05;142] POLICE BUSINESS.
[002:31:09;746] YOU KNOW I DON'T WEAR
[002:31:09;746] ANY UNDERWEAR,
[002:31:12;216] DON'T YOU, NICK?
[002:31:22;392] THANKS FOR THE RIDE.
[002:31:42;712] LIKETHAT ALL RIGHT
[002:31:42;712] GLASWITH YOU, COWBOY?OS
[002:31:46;316] SHE DOESN'T KNOW ME, O.K.?
[002:31:47;817] HERE YOU GO, NICK.
[002:31:49;352] I NEVER SEEN HER BEFORE
[002:31:49;352] GUS AND I TALKED TO HER.
[002:31:53;323] YOU'RE SURE?
[002:31:54;491] YES, I'M SURE.
[002:31:56;026] CHEERS.
[002:32:06;169] NOW WHAT?
[002:32:07;303] NOW NOTHING.
[002:32:08;338] SHE PASSED
[002:32:08;338] THE POLYGRAPH.
[002:32:09;805] THAT'S IT.
[002:32:11;307] SHE KNEW HOW TO BEAT IT.
[002:32:13;476] WHAT IS IT WITH YOU
[002:32:13;476] AND THIS BROAD ANYWAY?
[002:32:16;679] DON'T LET THIS ONE SLIDE.
[002:32:18;181] WHAT ABOUT HER PARENTS?
[002:32:19;649] WHAT ABOUT WHAT ELSE
[002:32:19;649] SHE PUBLISHED?
[002:32:21;684] MAYBE ALL HER BOOKS
[002:32:21;684] COME TRUE.
[002:32:23;786] HER PARENTS
[002:32:23;786] DIED IN AN ACCIDENT.
[002:32:25;788] I DON'T GIVE A SHIT
[002:32:25;788] WHAT ELSE SHE PUBLISHED.
[002:32:28;991] HOW'D THEY DIE?
[002:32:30;493] WAS THERE
[002:32:30;493] AN INVESTIGATION?
[002:32:31;994] YOU'RE SAYING SHE
[002:32:31;994] KILLED HER PARENTS?
[002:32:33;996] DID SHE KILL
[002:32:33;996] MANNY VASQUEZ, TOO?
[002:32:35;698] NOT UNLESS SHE CLIMBED
[002:32:35;698] INTO THE RING
[002:32:38;134] AND TURNED INTO
[002:32:38;134] ONE MEAN SON OF A BITCH.
[002:32:41;037] MAYBE SHE DID, GUS.
[002:32:42;471] MAYBE SHE DEVELOPED
[002:32:42;471] A LEFT HOOK
[002:32:44;473] AND PUT SHOE POLISH
[002:32:44;473] ALL OVER HER FACE.
[002:32:47;076] LET'S POLYGRAPH HER
[002:32:47;076] AGAIN.
[002:32:48;578] FUCK YOU.
[002:32:49;679] FUCK YOU, TOO,
[002:32:49;679] NICK.
[002:32:51;180] DON'T WORRY, PHIL.
[002:32:51;180] NICK'LL FUCK HIMSELF.
[002:32:53;683] YOU GUYS
[002:32:53;683] ARE VERY FUNNY.
[002:32:56;085] HEY, CHUCKIE,
[002:32:56;085] ANOTHER DOUBLE.
[002:32:57;587] HEY, SHOOTER...
[002:32:58;788] ARE YOU BACK
[002:32:58;788] ON BLACKJACK, SHOOTER?
[002:33:02;491] WE'RE DISCUSSING
[002:33:02;491] A CASE HERE, MARTY.
[002:33:04;426] I KNOW THAT.
[002:33:04;426] HAVE NO DOUBTS.
[002:33:06;662] HERE YOU GO, NICK.
[002:33:08;197] OH.
[002:33:09;565] A DOUBLE.
[002:33:10;967] HUH, SHOOTER?
[002:33:12;234] HMM?
[002:33:16;739] I'M OFF DUTY, NILSON.
[002:33:20;743] YOU HEAR ME?
[002:33:22;244] I'M OFF DUTY
[002:33:22;244] DISCUSSING A CASE.
[002:33:24;780] I.A. SHOULDN'T HAVE
[002:33:24;780] A PROBLEM WITH THAT.
[002:33:29;619] MAYBE I SHOULD PUT IN
[002:33:29;619] FOR SOME OVERTIME.
[002:33:34;056] DON'T WORK TOO HARD,
[002:33:34;056] SHOOTER.
[002:33:36;993] MIGHT DRIVE YOU
[002:33:36;993] TO DRINK.
[002:33:41;063] STOP RIDING ME, MAN!
[002:33:42;598] I'LL KICK
[002:33:42;598] YOUR FUCKING TEETH IN!
[002:33:44;566] HEY! WHAT'S THE PROBLEM?
[002:33:46;201] NO PROBLEM,
[002:33:46;201] DOCTOR.
[002:33:47;703] HERE COMES
[002:33:47;703] THE SHRINK.
[002:33:49;204] JUST IN TIME TO SAVE
[002:33:49;204] HER FAVORITE PATIENT.
[002:33:52;708] JUST FUCK OFF, MARTY!
[002:33:54;376] HOO HOO! YOU KIDS HAVE
[002:33:54;376] A GOOD TIME TONIGHT, HUH?
[002:34:03;953] HE'S ASKING FOR IT.
[002:34:05;387] THAT'S RIGHT,
[002:34:05;387] SO DON'T TAKE THE BAIT.
[002:34:10;892] WANT TO GO?
[002:34:14;195] YES.
[002:34:15;229] LET'S GO.
[002:34:18;933] SOMETIMES I THINK
[002:34:18;933] HE STARTED BANGING HER
[002:34:21;402] JUST TO GET OFF THE HOOK
[002:34:21;402] WITH INTERNAL AFFAIRS.
[002:34:24;405] HE AIN'T THAT WAY.
[002:34:25;940] HE'S GOT A HEART.
[002:34:31;379] WHEW!
[002:34:44;225] OH!
[002:36:07;808] OH.
[002:36:21;522] WHAT WAS SHE LIKE?
[002:36:23;023] WHO?
[002:36:24;358] CATHERINE TRAMELL.
[002:36:28;362] YOU HAD HER PEGGED.
[002:36:29;863] SHE USED HER BOOK
[002:36:29;863] AS AN ALIBI.
[002:36:34;168] I MET HER AT BERKELEY.
[002:36:38;372] WE WERE IN SOME
[002:36:38;372] OF THE SAME CLASSES.
[002:36:41;676] WHY DIDN'T YOU TELL ME?
[002:36:43;644] I'M TELLING YOU.
[002:36:55;790] YOU'VE NEVER BEEN
[002:36:55;790] LIKE THAT BEFORE.
[002:36:58;426] WHY?
[002:37:00;260] YOU TELL ME.
[002:37:00;260] YOU'RE THE SHRINK.
[002:37:04;965] YOU WEREN'T
[002:37:04;965] MAKING LOVE TO ME.
[002:37:06;967] WHO WAS I
[002:37:06;967] MAKING LOVE TO?
[002:37:08;936] YOU WEREN'T MAKING LOVE.
[002:37:15;075] I NEED A CIGARETTE.
[002:37:16;811] I THOUGHT
[002:37:16;811] YOU SAID YOU QUIT.
[002:37:24;418] IT'S THE TOP DRAWER
[002:37:24;418] IN THE FOYER.
[002:37:27;387] GET THEM
[002:37:27;387] ON YOUR WAY OUT.
[002:37:32;726] O.K.
[002:37:58;285] ñk?!Gfc
[002:37:58;285] YOU HAVE SOMETHING
[002:37:58;285] AGAINST ICE CUBES?
[002:38:01;855] I LIKE ROUGH EDGES.
[002:38:03;523] SO WHAT DID YOU
[002:38:03;523] WANT TO ASK ME?
[002:38:06;526] HOW'S IT FEEL
[002:38:06;526] TO KILL SOMEONE?
[002:38:11;698] YOU TELL ME.
[002:38:15;135] I DON'T KNOW, BUT YOU DO.
[002:38:19;406] IT WAS AN ACCIDENT.
[002:38:21;241] THEY GOT IN
[002:38:21;241] THE LINE OF FIRE.
[002:38:26;313] FOUR SHOOTINGS
[002:38:26;313] IN FIVE YEARS?
[002:38:28;481] ALL ACCIDENTS?
[002:38:31;985] THEY WERE DRUG BUYS.
[002:38:33;520] I WAS WORKING
[002:38:33;520] UNDERCOVER.
[002:38:35;188] YOU WANT TO TELL ME
[002:38:37;357] ABOUT
[002:38:37;357] PROFESSOR GOLDSTEIN?
[002:38:42;695] THERE'S A NAME
[002:38:42;695] FROM THE PAST.
[002:38:44;731] YOU WANT A NAME
[002:38:44;731] FROM THE PRESENT?
[002:38:47;199] HAZEL DOBKINS.
[002:38:48;401] NOAH GOLDSTEIN
[002:38:48;401] WAS MY COUNSELOR
[002:38:50;436] MY FRESHMAN YEAR.
[002:38:51;938] THAT'S PROBABLY
[002:38:51;938] WHERE I GOT THE IDEA
[002:38:54;907] FOR THE ICE PICK
[002:38:54;907] FOR MY BOOK.
[002:38:59;378] FUNNY HOW
[002:38:59;378] THE SUBCONSCIOUS WORKS.
[002:39:01;513] HILARIOUS.
[002:39:05;351] HAZEL'S MY FRIEND.
[002:39:06;885] YOUR FRIEND TOOK OUT
[002:39:06;885] HER WHOLE FAMILY.
[002:39:09;355] YES. SHE HELPED ME
[002:39:09;355] UNDERSTAND
[002:39:10;923] HOMICIDAL IMPULSE.
[002:39:12;291] THOUGHT YOU WOULD'VE
[002:39:12;291] LEARNED THAT AT SCHOOL.
[002:39:16;295] ONLY IN THEORY.
[002:39:17;763] BUT YOU KNOW ALL ABOUT
[002:39:17;763] HOMICIDAL IMPULSE,
[002:39:21;367] DON'T YOU, SHOOTER?
[002:39:25;671] NOT IN THEORY.
[002:39:25;671] IN PRACTICE.
[002:39:28;441] WHAT HAPPENED?
[002:39:30;042] DID YOU GET
[002:39:30;042] SUCKED INTO IT?
[002:39:32;544] DID YOU LIKE IT TOO MUCH?
[002:39:36;949] I DON'T KNOW WHAT
[002:39:36;949] YOU'RE TALKING ABOUT.
[002:39:41;454] TELL ME ABOUT
[002:39:41;454] THE COKE, NICK.
[002:39:46;092] THE DAY YOU SHOT
[002:39:46;092] THOSE TWO TOURISTS,
[002:39:49;095] HOW MUCH COKE
[002:39:49;095] DID YOU DO?
[002:39:52;764] HMM?
[002:39:54;233] COME ON.
[002:39:56;235] YOU CAN TELL ME.
[002:40:04;009] I DIDN'T.
[002:40:05;477] YES, YOU DID.
[002:40:07;945] THEY NEVER TESTED YOU,
[002:40:07;945] DID THEY?
[002:40:11;916] INTERNAL AFFAIRS KNEW.
[002:40:16;454] YOUR WIFE KNEW, TOO,
[002:40:16;454] DIDN'T SHE?
[002:40:24;695] SHE KNEW
[002:40:24;695] WHAT WAS GOING ON.
[002:40:29;334] I THINK YOU GOT
[002:40:29;334] TOO CLOSE TO THE FLAME.
[002:40:39;777] I THINK YOU LIKED IT.
[002:40:46;351] THAT'S WHY
[002:40:46;351] SHE KILLED HERSELF.
[002:41:04;569] HI, HON.
[002:41:10;808] YOU TWO HAVE MET,
[002:41:10;808] HAVEN'T YOU?
[002:41:22;720] YOU'RE GOING TO MAKE
[002:41:22;720] A TERRIFIC CHARACTER, NICK.
[002:41:36;400] zw.w7ç3Y
[002:41:36;400] NICK?
[002:41:37;534] [KNOCK ON DOOR]
[002:41:39;136] NICK, ARE YOU THERE?
[002:41:40;637] GO AWAY, BETH.
[002:41:42;172] I DON'T WANT
[002:41:42;172] TO SEE YOU.
[002:41:50;380] I STILL HAVE
[002:41:50;380] MY KEY.
[002:41:53;250] PUT THEM
[002:41:53;250] ON THE TABLE AND LEAVE.
[002:41:59;623] PUT THEM ON
[002:41:59;623] THE GOD DAMN TABLE
[002:41:59;623] AND LEAVE!
[002:42:02;326] DAMN IT!
[002:42:03;327] DON'T SHUT ME OUT!
[002:42:04;861] YOU OWE ME
[002:42:04;861] MORE THAN THAT.
[002:42:06;696] I DON'T
[002:42:06;696] OWE YOU ANYTHING.
[002:42:10;567] YOU DON'T OWE ME
[002:42:10;567] ANYTHING.
[002:42:13;370] WE WENT TO BED
[002:42:13;370] 10, 15 TIMES MAYBE.
[002:42:16;607] IT WASN'T
[002:42:16;607] MEMORABLE ENOUGH TO
[002:42:16;607] CARRY AN OBLIGATION.
[002:42:21;978] SOMETIMES
[002:42:21;978] I REALLY HATE YOU.
[002:42:24;714] WHY DON'T
[002:42:24;714] YOU GET YOURSELF
[002:42:26;716] SOME FRIENDLY
[002:42:26;716] LITTLE THERAPIST
[002:42:28;218] AND WORK OUT
[002:42:28;218] THAT HOSTILITY?
[002:42:29;919] MAYBE YOU CAN GET OFF
[002:42:29;919] ONCE IN A WHILE.
[002:42:36;193] ARE YOU NUTS?
[002:42:48;272] I'M SORRY.
[002:42:50;374] SORRY.
[002:42:51;708] I DON'T USUALLY
[002:42:51;708] ACT LIKE THAT.
[002:42:54;377] HOW COULD YOU
[002:42:54;377] GIVE HIM MY FILE?
[002:42:57;246] I HAD TO!
[002:42:58;848] HE WAS GOING
[002:42:58;848] TO RECOMMEND
[002:43:00;483] YOUR DISCHARGE
[002:43:00;483] FROM THE FORCE.
[002:43:01;885] HE DIDN'T BUY
[002:43:01;885] MY EVALUATION.
[002:43:04;420] HE SAID
[002:43:04;420] I WASN'T OBJECTIVE.
[002:43:06;422] I MADE
[002:43:06;422] A DEAL WITH HIM
[002:43:07;991] TO REVIEW
[002:43:07;991] THE SESSION NOTES.
[002:43:10;459] I DIDN'T THINK
[002:43:10;459] HE'D SHOW THEM TO ANYBODY.
[002:43:12;461] YOU DID IT FOR ME?
[002:43:14;297] YES.
[002:43:15;398] I CARE ABOUT YOU.
[002:43:15;398] I DID IT FOR YOU.
[002:43:23;073] GO AWAY, BETH.
[002:43:24;473] PLEASE JUST GO AWAY.
[002:43:38;188] [DOOR CLOSES]
[002:43:40;790] [GRRR]
[002:43:46;162] [TELEPHONE RINGS]
[002:43:51;901] [RING]
[002:43:54;971] YO.
[002:43:55;939] AAH!
[002:43:56;940] AAH!
[002:44:00;944] I'M ON MY WAY.
[002:44:18;494] Kmart. $1.65.
[002:44:25;301] WHY DON'T YOU LET ME
[002:44:25;301] DO THIS FOR YOU?
[002:44:35;510] YOU LIKE WATCHING ME
[002:44:35;510] DO IT, DON'T YOU?
[002:44:41;650] COULD I HAVE A
[002:44:41;650] CIGARETTE, TOO, PLEASE?
[002:44:44;619] I TOLD YOU YOU'D START
[002:44:44;619] SMOKING AGAIN.
[002:44:47;656] WILL YOU LIGHT IT
[002:44:47;656] FOR ME?
[002:44:54;763] THANKS.
[002:44:58;333] SO HOW MUCH YOU PAY
[002:44:58;333] NILSON FOR MY FILE?
[002:45:03;305] ISN'T HE THE POLICEMAN
[002:45:03;305] THAT YOU SHOT, SHOOTER?
[002:45:06;341] WHAT IF I ASK YOU
[002:45:06;341] NOT TO CALL ME SHOOTER?
[002:45:10;312] O.K. HOW ABOUT
[002:45:10;312] IF I CALL YOU NICKY?
[002:45:14;382] MY WIFE USED TO
[002:45:14;382] CALL ME NICKY.
[002:45:18;187] YEAH. I KNOW.
[002:45:19;654] I LIKE IT.
[002:45:26;161] CHEERS.
[002:45:27;129] MY FRIENDS
[002:45:27;129] CALL ME CATHERINE.
[002:45:29;264] WHAT'D MANNY VASQUEZ
[002:45:29;264] USED TO CALL YOU?
[002:45:32;100] BITCH, MOSTLY.
[002:45:33;902] BUT HE MEANT IT
[002:45:33;902] AFFECTIONATELY.
[002:45:37;139] DO YOU HAVE ANY COKE?
[002:45:40;442] I JUST LOVE COKE
[002:45:40;442] WITH JACK DANIEL'S.
[002:45:43;345] GOT A PEPSI
[002:45:43;345] IN THE FRIDGE.
[002:45:45;480] IT'S NOT REALLY
[002:45:45;480] THE SAME THING,
[002:45:45;480] NOW, IS IT?
[002:45:49;017] NO, IT'S NOT.
[002:45:53;520] SO WHERE'S THIS GOING?
[002:45:55;723] HMM?
[002:45:57;591] WHAT DO YOU
[002:45:57;591] WANT FROM ME?
[002:46:03;764] SAY "WHAT DO YOU WANT
[002:46:03;764] FROM ME, CATHERINE?"
[002:46:07;768] WHAT THE FUCK DO YOU
[002:46:07;768] WANT FROM ME, CATHERINE?
[002:46:19;313] I BROUGHT YOU
[002:46:19;313] SOMETHING.
[002:46:26;254] HMM.
[002:46:27;321] AREN'T YOU GOING
[002:46:27;321] TO SAY THANK YOU?
[002:46:30;824] WHAT'S IT ABOUT?
[002:46:32;360] A BOY WHO KILLS
[002:46:32;360] HIS PARENTS.
[002:46:33;895] THEY HAVE A PLANE.
[002:46:35;429] HE MAKES IT LOOK
[002:46:35;429] LIKE AN ACCIDENT.
[002:46:40;368] WHY'D HE DO THAT?
[002:46:41;835] TO SEE IF HE COULD
[002:46:41;835] GET AWAY WITH IT.
[002:46:48;776] WHEN DID YOU WRITE THIS?
[002:46:50;744] YOU MEAN DID I WRITE IT
[002:46:50;744] BEFORE MY PARENTS DIED?
[002:46:53;981] YEAH.
[002:46:59;053] NO.
[002:47:00;388] I WROTE IT
[002:47:00;388] YEARS AFTERWARDS.
[002:47:03;657] YOU'RE NOT GOING TO STOP
[002:47:03;657] FOLLOWING ME AROUND NOW
[002:47:06;560] JUST BECAUSE
[002:47:06;560] YOU'RE ON LEAVE?
[002:47:08;195] ABSOLUTELY NOT.
[002:47:10;965] GOOD. I'D MISS YOU.
[002:47:12;466] YOU COULD GET
[002:47:12;466] IN TROUBLE, THOUGH.
[002:47:14;435] YOU'RE NOT
[002:47:14;435] A COP ANYMORE.
[002:47:15;970] I'LL RISK IT.
[002:47:17;438] WHY TAKE THE RISK?
[002:47:18;973] TO SEE IF I CAN
[002:47:18;973] GET AWAY WITH IT.
[002:47:23;710] HOW'S YOUR NEW BOOK?
[002:47:25;245] IT'S PRACTICALLY
[002:47:25;245] WRITING ITSELF.
[002:47:27;448] I'LL BE LEAVING
[002:47:27;448] ABOUT MIDNIGHT,
[002:47:29;450] IN CASE YOU ARE
[002:47:29;450] GOING TO FOLLOW ME.
[002:47:33;454] I'LL BE AT
[002:47:33;454] JOHNNY BOZ'S CLUB.
[002:47:35;889] I'LL MEET YOU THERE.
[002:47:43;464] 
[002:47:43;464] [HOUSE MUSIC PLAYS]
[002:48:11;525] HI.
[002:48:12;759] HI, BABE.
[002:48:14;227] HOW ARE YOU?
[002:48:15;562] GOOD. GOOD.
[002:49:54;193] UHH.
[002:52:34;385] UHH.
[002:53:05;516] AAH!
[002:53:22;533] SHH. SHH.
[002:53:27;805] SHH.
[002:55:26;990] IF YOU DON'T
[002:55:26;990] LEAVE HER ALONE,
[002:55:26;990] I'LL KILL YOU.
[002:55:35;765] LET ME ASK YOU
[002:55:35;765] SOMETHING, ROCKY...
[002:55:40;103] MAN TO MAN.
[002:55:44;408] I THINK SHE'S
[002:55:44;408] THE FUCK OF THE CENTURY.
[002:55:51;014] WHAT DO YOU THINK?
[002:55:56;987] HOW LONG
[002:55:56;987] YOU BEEN HERE?
[002:55:59;156] YOU LIKE WATCHING,
[002:56:02;059] DON'T YOU?
[002:56:06;830] SHE LIKES ME TO WATCH.
[002:56:30;387] STORY.
[002:56:37;627] >> WE LOVE MICHAEL!
[002:56:39;161] >> FANS GATHERED OUTSIDE THE
[002:56:40;429] HOTEL IN SINGAPORE WHERE MICHAEL
[002:56:41;230] JACKSON IS STAYING AFTER YET
[002:56:42;831] HIS DOCTORS SAY HE HAS A
[002:56:43;466] HEADACHE.
[002:56:46;835] CBS NEWS HAS OBTAINED A TAPED
[002:56:49;705] PHONE CONVERSATION, THE VOICES
[002:56:51;073] ARE PIER PORTEDLY THE FATHER OF
[002:56:53;175] THE 13-YEAR-OLD BOY WHO IS
[002:56:54;877] ACCUSING MICHAEL JACKSON OF
[002:56:56;145] ABUSING HIM AND THE BOY'S
[002:56:59;015] THE CONVERSATION WAS TAPED IN
[002:57:00;016] JULY BEFORE THE POLICE BEGAN
[002:57:00;716] THEIR INVESTIGATION.
[002:57:18;700] >> JACKSON'S PRIVATE
[002:57:19;701] INVESTIGATOR HAS SAID ALL ALONG
[002:57:20;836] THE ACCUSERS WERE MOTIVATED BY A
[002:57:21;937] FAILED EXTORTION ATTEMPT.
[002:57:25;174] >> IT SPELLS OUT EVERYTHING TO
[002:57:26;042] ME THAT THIS WAS AN EXTORTION
[002:57:27;476] ATTEMPT FROM THE VERY BEGINNING,
[002:57:28;244] ALL PLANNED.
[002:57:31;347] HILLS DENTIST ISN'T RETURNING
[002:57:32;415] PHONE CALLS, A RECENT LEGAL
[002:57:33;849] REQUEST TO TAKE CUSTODY FROM HIS
[002:57:34;950] MOTHER HAS BEEN WITHDRAWN.
[002:57:38;487] MEANTIME, JACKSON'S FRIEND
[002:57:40;422] ELIZABETH TAYLOR FLEW TO HIS
[002:57:41;923] SIDE FOR MORAL SUPPORT.
[002:57:44;959] >> I BELIEVE TOTALLY THAT
[002:57:48;696] I BELIEVE IN MICHAEL'S
[002:57:50;065] INTEGRITY, HIS LOVE AND RESPECT
[002:57:51;766] OF CHILDREN.
[002:57:54;469] I KNOW IT WILL ALL COME OUT ALL
[002:57:55;236] RIGHT.
[002:57:56;971] >> TODAY, THE JACKSON FAMILY
[002:57:57;738] ANNOUNCED THEY, TOO, WILL FLY TO
[002:57:58;573] ASIA TO BE WITH MICHAEL.
[002:58:00;775] >> I'M BEHIND MY SON.
[002:58:01;709] I DON'T BELIEVE ANY OF THIS
[002:58:04;345] BECAUSE I RAISED HIM AND I KNOW
[002:58:05;880] HIM AND THAT'S JUST A STATEMENT
[002:58:07;515] PEOPLE ARE MAKING.
[002:58:09;317] >> FANS IN SINGAPORE WERE TOLD
[002:58:10;185] TO HOLD ON TO THE TICKETS FOR
[002:58:11;819] THE POSTPONED CONCERT BECAUSE
[002:58:13;721] JACKSON WOULD BE BACK ON STAGE
[002:58:15;756] WEDNESDAY NIGHT.
[002:58:17;658] SANDRA HUGHES, CBS NEWS, LOS
[002:58:18;593] STORE'S SECURITY GUARDS ENGAGED
[002:58:22;597] IN VOYEURISM, SPYING ON HER AND
[002:58:24;365] OTHERS IN INAPPROPRIATE WAYS...
[002:58:27;469] THE EVIDENCE: OBSCENE SECURITY
[002:58:29;904] TAPES ...AND PEEPHOLES ABOVE
[002:58:32;207] NEWSCENTER FOUR'S VIC LEE HAS
[002:58:33;007] MORE...
[002:58:34;375] WHEN PENNEY'S INSTALLED THE
[002:58:35;276] SECURITY CAMERAS LAST NOVEMBER,
[002:58:37;579] THE STORE TOLD ITS WORKERS IT
[002:58:38;646] WANTED TO CUT DOWN ON
[002:58:40;148] SHOPLIFTING AND EMPLOYE THEFT.
[002:58:42;650] BUT THIS IS WHAT KATHERYN
[002:58:44;118] HERNANDEZ FOUND THEY WERE
[002:58:44;818] SHOOTING.
[002:58:47;687] HER BODY PARTS. THE CAMERA HAD
[002:58:48;688] ZOOMED IN ON HER CHEST ...
[002:58:49;990] STAYING FIXED THERE, EVEN WHILE
[002:58:51;024] SHE MOVED AROUND.
[002:58:54;361] THE TAPE LAST FOR SEVERAL
[002:58:55;095] MINUTES.
[002:58:56;463] SOT I FELT VIOLATED. I CANT
[002:58:57;964] BELIEVE SOMEONE WOULD HAVE NO
[002:58:59;433] RESPECT TO ANYONE TO DO THAT TO
[002:59:00;601] SOME ONE LIKE ME.
[002:59:03;337] MANY STORES NOW HAVE
[002:59:04;804] SURVEILLANCE CAMERAS. THIS ONE
[002:59:07;608] CAUGHT A FAMILY OF SHOPLIFTERS.
[002:59:10;344] THE MAN IN THE FRONT SHIELDS
[002:59:11;545] HIS PARTNERS WHILE THEY ARE
[002:59:13;913] STUFFING CLOTHES INTO A LARGE
[002:59:14;681] BAG.
[002:59:16;283] SO LARGE IN FACT, THEY HAVE TO
[002:59:17;117] PUSH IT TO THE DOOR, WHERE THEY
[002:59:17;917] ARE CAUGHT.
[002:59:20;120] STANDUP THERE APPEARS TO BE NO
[002:59:21;522] LAW THAT APPLIES DIRECTLY TO
[002:59:25;091] THE POSSIBLE ABUSES OF SECURITY
[002:59:25;892] CAMERAS.
[002:59:27;461] BUT IN THIS AGE OF HIGH TECH
[002:59:28;629] THESE CAMERAS CAN TILT, ZOOM,
[002:59:29;396] AND PAN.
[002:59:31;231] SO WHILE THEY ARE POWERFUL
[002:59:32;799] TOOLS FOR CRIME FIGHTING, IN
[002:59:34;234] THE WRONG HANDS THEY CAN BECOME
[002:59:39;273] CLIFF PALEFSKY, ATTORNEY FOR
[002:59:40;040] HERNANDEZ SAYS THERE'S A
[002:59:41;074] BROADER ISSUE HERE.
[002:59:44;211] SOT ITS IMPORTANT THAT WE HAVE
[002:59:46;679] A RECOGNITION OF THE POSSIBLE
[002:59:47;913] ABUSES AND HAVE POLICIES AND
[002:59:49;048] LAWS IN PLACE TO PROTECT
[002:59:50;015] AGAINST IT.
[002:59:55;321] TAKING PICTURES LIKE THESE,
[002:59:57;390] HERNANDEZ SAYS SHE LATER
[002:59:59;659] LEARNED THEY WERE DRILLING
[003:00:01;494] PEEPHOLES IN THE FITTING ROOM
[003:00:02;261] CEILINGS.
[003:00:02;961] SOT I THINK OF ALL THE
[003:00:03;696] CUSTOMERS I WAITED ON ALL THOSE
[003:00:04;697] FITTING ROOMS. I THINK ALL THE
[003:00:06;999] EMPLOYES WHO USE THE FITTING
[003:00:08;467] ROOMS. I HAVE USED THE FITTING
[003:00:09;968] ROOMS AND IT SCARES ME TO THINK
[003:00:12;171] THAT SOMEONE COULD HAVE SEEN ME
[003:00:13;005] WITHOUT ANY CLOTHES ON.
[003:00:17;376] KATHERYN HERNANDEZ GOT HER
[003:00:18;211] HANDS ON THAT TAPE THRU A
[003:00:19;845] FORMER EMPLOYE.
[003:00:22;014] J.C. PENNEYS CORPORATE OFFICE
[003:00:24;116] IN DALLAS DECLINED TO COMMENT
[003:00:27;220] THEY DO SAY THEY'RE
[003:00:28;321] INVESTIGATING AND LATE THIS
[003:00:29;589] AFTERNOON, THEY TOLD NC4 THEY
[003:00:31;924] HAVE FOUND PEEPHOLES IN THE
[003:00:34;193] CEILINGS OF DRESSING ROOMS.
[003:00:35;861] BUT NO TELLING WHO DID IT OR
[003:00:36;629] WHY.
[003:00:37;697] ARE THEY SUING FOR INVASION OF
[003:00:39;198] PRIVACY?
[003:00:58;784] BEGINNING TO EVALUATE A
[003:00:59;852] MONTH-LONG CRACK-DOWN ON THE
[003:01:01;053] STREETS OF SAN FRANCISCO.
[003:01:03;122] AT THE HEIGHT OF TOURIST
[003:01:04;056] SEASON.. THEY'VE TICKETED OR
[003:01:05;323] ARRESTED HUNDREDS OF HOMELESS
[003:01:06;091] PEOPLE.
[003:01:07;726] NEWSCENTER-FOUR'S MARK MULLEN,
[003:01:08;660] LIVE IN SAN FRANCISCO WITH
[003:01:09;394] MORE.
[003:01:24;342] COMPILED STATISTICS YET BUT
[003:01:25;644] BASED ON REPORTS THEIR SO
[003:01:27;479] CALLED QUALITY OF LIFE
[003:01:29;381] ENFORCEMENT POLICY HAS WORKED
[003:01:33;451] THE AVERAGEE SAN FRANCISCAN HAS
[003:01:34;753] BEEN HEARD FROM AND THEYVE TOLD
[003:01:35;654] US THEYREE TIRED OF THIS
[003:01:36;354] ACTIVITY.
[003:01:38;356] 18 LAWS WERE VIGOUROUSLY
[003:01:40;192] ENFORCED INCLUDING NO LODGING,
[003:01:42;227] NO PUBLIC INEBRIATION, NO
[003:01:43;595] PUBLIC URINATION, NO POSSESSION
[003:01:45;563] OF SHOPPING CARTS AND NO
[003:01:46;265] AGGRESIVE PANHANDLING.
[003:01:47;699] WERE JUST TRYING TO KICK BACK
[003:01:48;466] AND SURVIVE.
[003:01:49;668] HOMELESS PEOPLE WE SPOKE WITH
[003:01:50;568] CALLED THE EFFORT A WASTE OF
[003:01:52;004] TIME AND UNFAIR. THIS CRACKDOWN
[003:01:52;938] CAME AT A TIME WHEN SHELTER
[003:01:55;507] TURNAWYS ARE UP 15% AND THE
[003:02:06;951] CLOSING AT NIGHT WHICH FORCED
[003:02:08;252] 300 HOMELESS TO SLEEP
[003:02:08;886] ELSEWHERE.
[003:02:10;288] THEY WAKE HIM UP AND
[003:02:11;455] IMMEDIATELY PUT THE CUFFS ON
[003:02:12;223] HIM.
[003:02:34;411] POLICE HAVE USED THE POLICY TO
[003:02:35;412] HASSLE STREET PEOPLE.
[003:02:36;714] THEY FOLLOWED POLICE WITH A
[003:02:37;481] CAMCORDER.
[003:02:39;750] ITS ALSO MAKING UNLAWFUL
[003:02:41;953] ARRESTS AS WELL AS UNLAWFULLY
[003:02:43;020] CONFISCATING AND DESTRUCTION OF
[003:02:45;223] PEOPLE'S PROPERTY.
[003:03:16;953] WE'VE BEEN FOLLOWING THE PAST
[003:03:17;720] 24 HOURS..
[003:03:19;256] BERKELEY POLICE ARE LOOKING FOR
[003:03:20;156] TWO MEN WHO SHOT A MAN TO DEATH
[003:03:21;324] IN AN APPARENT ROBBERY ATTEMPT.
